stepcount,cte_dataheaderid,createdon,companyid,cte_stepcountid
74,442,2020-07-02 10:09:02.07492,,1302
266,442,2020-07-02 10:09:02.092893,,1303
652,442,2020-07-02 10:09:02.092902,,1304
1051,442,2020-07-02 10:09:02.092904,,1305
1592,442,2020-07-02 10:09:02.092905,,1306
1882,442,2020-07-02 10:09:02.092906,,1307
1999,442,2020-07-02 10:09:02.092907,,1308
2300,442,2020-07-02 10:09:02.092908,,1309
2300,442,2020-07-02 10:09:02.092909,,1310
70,440,2020-07-02 10:09:02.133564,,1311
270,440,2020-07-02 10:09:02.133568,,1312
635,440,2020-07-02 10:09:02.133569,,1313
992,440,2020-07-02 10:09:02.133569,,1314
1529,440,2020-07-02 10:09:02.133574,,1315
1812,440,2020-07-02 10:09:02.133575,,1316
1926,440,2020-07-02 10:09:02.133576,,1317
2219,440,2020-07-02 10:09:02.133577,,1318
2258,440,2020-07-02 10:09:02.133577,,1319
78,450,2020-07-02 10:09:02.175161,,1320
300,450,2020-07-02 10:09:02.175165,,1321
672,450,2020-07-02 10:09:02.175166,,1322
1027,450,2020-07-02 10:09:02.175167,,1323
1553,450,2020-07-02 10:09:02.175167,,1324
1848,450,2020-07-02 10:09:02.175168,,1325
1960,450,2020-07-02 10:09:02.175169,,1326
2255,450,2020-07-02 10:09:02.17517,,1327
2296,450,2020-07-02 10:09:02.175171,,1328
255,452,2020-07-03 10:12:19.491948,,1329
388,452,2020-07-03 10:12:19.510235,,1330
903,452,2020-07-03 10:12:19.510301,,1331
1430,452,2020-07-03 10:12:19.510302,,1332
1766,452,2020-07-03 10:12:19.510303,,1333
2154,452,2020-07-03 10:12:19.510304,,1334
2345,452,2020-07-03 10:12:19.510305,,1335
2361,452,2020-07-03 10:12:19.510306,,1336
2370,452,2020-07-03 10:12:19.510307,,1337
300,463,2020-07-03 10:12:19.611182,,1338
465,463,2020-07-03 10:12:19.611187,,1339
1011,463,2020-07-03 10:12:19.611188,,1340
1581,463,2020-07-03 10:12:19.611189,,1341
2016,463,2020-07-03 10:12:19.61119,,1342
2429,463,2020-07-03 10:12:19.611191,,1343
2644,463,2020-07-03 10:12:19.611192,,1344
2644,463,2020-07-03 10:12:19.611192,,1345
2651,463,2020-07-03 10:12:19.611193,,1346
239,455,2020-07-03 10:12:19.61805,,1347
362,455,2020-07-03 10:12:19.618054,,1348
895,455,2020-07-03 10:12:19.618055,,1349
1395,455,2020-07-03 10:12:19.618056,,1350
1764,455,2020-07-03 10:12:19.618057,,1351
2157,455,2020-07-03 10:12:19.618059,,1352
2335,455,2020-07-03 10:12:19.61806,,1353
2348,455,2020-07-03 10:12:19.61806,,1354
2358,455,2020-07-03 10:12:19.618061,,1355
0,470,2020-07-04 10:11:33.58469,,1365
163,470,2020-07-04 10:11:33.584694,,1366
607,470,2020-07-04 10:11:33.584695,,1367
817,470,2020-07-04 10:11:33.584696,,1368
1300,470,2020-07-04 10:11:33.584697,,1369
2896,470,2020-07-04 10:11:33.584698,,1370
4392,470,2020-07-04 10:11:33.5847,,1371
5488,470,2020-07-04 10:11:33.584701,,1372
5594,470,2020-07-04 10:11:33.584702,,1373
0,466,2020-07-04 10:11:33.56476,,1356
162,466,2020-07-04 10:11:33.583073,,1357
607,466,2020-07-04 10:11:33.583085,,1358
792,466,2020-07-04 10:11:33.583087,,1359
1281,466,2020-07-04 10:11:33.583088,,1360
2798,466,2020-07-04 10:11:33.583089,,1361
4278,466,2020-07-04 10:11:33.58309,,1362
5381,466,2020-07-04 10:11:33.583091,,1363
5495,466,2020-07-04 10:11:33.583092,,1364
0,465,2020-07-04 10:11:33.59357,,1374
155,465,2020-07-04 10:11:33.593573,,1375
652,465,2020-07-04 10:11:33.593575,,1376
887,465,2020-07-04 10:11:33.593576,,1377
1380,465,2020-07-04 10:11:33.593577,,1378
3169,465,2020-07-04 10:11:33.593578,,1379
4853,465,2020-07-04 10:11:33.593579,,1380
6101,465,2020-07-04 10:11:33.59358,,1381
6246,465,2020-07-04 10:11:33.593581,,1382
132,480,2020-07-05 10:10:35.603783,,1383
2089,480,2020-07-05 10:10:35.622072,,1384
2681,480,2020-07-05 10:10:35.622078,,1385
3984,480,2020-07-05 10:10:35.622079,,1386
4428,480,2020-07-05 10:10:35.62208,,1387
4649,480,2020-07-05 10:10:35.622081,,1388
4817,480,2020-07-05 10:10:35.622082,,1389
5294,480,2020-07-05 10:10:35.622083,,1390
5901,480,2020-07-05 10:10:35.622083,,1391
175,477,2020-07-05 10:10:35.630401,,1392
2143,477,2020-07-05 10:10:35.630408,,1393
2695,477,2020-07-05 10:10:35.630409,,1394
3853,477,2020-07-05 10:10:35.63041,,1395
4253,477,2020-07-05 10:10:35.63041,,1396
4475,477,2020-07-05 10:10:35.630411,,1397
4658,477,2020-07-05 10:10:35.630412,,1398
5119,477,2020-07-05 10:10:35.630413,,1399
5662,477,2020-07-05 10:10:35.630413,,1400
184,481,2020-07-05 10:10:35.630491,,1401
2180,481,2020-07-05 10:10:35.630493,,1402
2745,481,2020-07-05 10:10:35.630494,,1403
3910,481,2020-07-05 10:10:35.630495,,1404
4319,481,2020-07-05 10:10:35.630496,,1405
4540,481,2020-07-05 10:10:35.630497,,1406
4710,481,2020-07-05 10:10:35.630498,,1407
5190,481,2020-07-05 10:10:35.630499,,1408
5778,481,2020-07-05 10:10:35.630499,,1409
492,492,2020-07-06 10:10:05.543076,,1428
823,492,2020-07-06 10:10:05.543081,,1429
1192,492,2020-07-06 10:10:05.543082,,1430
2371,492,2020-07-06 10:10:05.543083,,1431
2503,492,2020-07-06 10:10:05.543084,,1432
2918,492,2020-07-06 10:10:05.543085,,1433
3364,492,2020-07-06 10:10:05.543086,,1434
3722,492,2020-07-06 10:10:05.543087,,1435
4293,492,2020-07-06 10:10:05.543087,,1436
490,494,2020-07-06 10:10:05.514731,,1410
786,494,2020-07-06 10:10:05.540151,,1411
1145,494,2020-07-06 10:10:05.540157,,1412
2142,494,2020-07-06 10:10:05.540158,,1413
2269,494,2020-07-06 10:10:05.540159,,1414
2765,494,2020-07-06 10:10:05.54016,,1415
3233,494,2020-07-06 10:10:05.54016,,1416
3637,494,2020-07-06 10:10:05.540161,,1417
4376,494,2020-07-06 10:10:05.540162,,1418
503,493,2020-07-06 10:10:05.542917,,1419
781,493,2020-07-06 10:10:05.542921,,1420
1140,493,2020-07-06 10:10:05.542922,,1421
2156,493,2020-07-06 10:10:05.542925,,1422
2289,493,2020-07-06 10:10:05.542926,,1423
2796,493,2020-07-06 10:10:05.542927,,1424
3231,493,2020-07-06 10:10:05.542927,,1425
3651,493,2020-07-06 10:10:05.542928,,1426
4370,493,2020-07-06 10:10:05.542929,,1427
309,500,2020-07-07 10:08:59.330279,,1437
451,500,2020-07-07 10:08:59.349827,,1438
643,500,2020-07-07 10:08:59.349836,,1439
974,500,2020-07-07 10:08:59.349837,,1440
1244,500,2020-07-07 10:08:59.349838,,1441
1537,500,2020-07-07 10:08:59.349839,,1442
1587,500,2020-07-07 10:08:59.34984,,1443
1733,500,2020-07-07 10:08:59.349841,,1444
1733,500,2020-07-07 10:08:59.349842,,1445
316,501,2020-07-07 10:08:59.398782,,1446
463,501,2020-07-07 10:08:59.398787,,1447
650,501,2020-07-07 10:08:59.398788,,1448
1009,501,2020-07-07 10:08:59.398789,,1449
1303,501,2020-07-07 10:08:59.398791,,1450
1583,501,2020-07-07 10:08:59.398791,,1451
